extendido,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
homebajo,115,55,90,65,135,90,90,65,45,65,90,90,115,145,115,90
homealto,100,60,90,80,130,90,90,90,110,110,90,90,90,70,70,90
homemuybajo,100,60,90,80,130,90,90,15,15,70,90,90,180,180,110,90
salvamentof,165,60,20,25,130,180,90,90,110,110,90,90,90,70,70,90
salvamentor,30,60,20,150,130,180,90,90,110,110,90,90,90,70,70,90
salvamentofbajo,165,60,20,25,130,180,90,15,15,70,90,90,180,180,110,90
getup1,100,90,90,80,90,90,90,90,110,40,95,90,90,70,140,90
getup2,160,110,90,20,70,90,90,75,110,50,95,90,105,70,130,90
getup3,180,110,20,10,70,180,90,65,90,50,95,90,125,90,130,90
getup4,180,110,20,10,70,180,90,20,45,0,95,90,180,135,177,90
getup5,160,50,20,20,130,180,90,20,40,0,95,90,180,150,177,90
getup6,160,50,90,30,150,90,90,10,20,10,95,90,180,180,180,90
getup7,160,50,90,30,150,90,45,10,20,10,75,135,180,180,180,105
getup8,160,50,90,30,150,90,30,10,20,10,65,150,180,180,180,115
getup9,160,120,90,30,70,90,30,10,20,10,65,150,180,180,180,115
getup10,60,120,90,120,70,90,30,10,20,10,65,150,180,180,180,115
getup11,60,80,90,120,100,90,30,10,20,10,65,150,180,180,180,115
getup12,60,80,90,120,100,90,40,20,20,10,60,140,170,180,180,120
getup13,60,80,90,120,100,90,50,20,20,10,60,130,170,180,180,120
getup14,60,80,90,120,100,90,60,30,20,10,60,120,160,180,180,120
getup15,60,80,90,120,100,90,80,40,20,10,60,100,150,180,180,120
getup16,60,120,90,120,70,90,40,10,20,10,65,140,180,180,180,115
getup17,60,90,90,120,90,90,50,10,20,10,65,130,180,180,180,115
getup18,60,60,90,120,130,90,60,30,20,10,65,120,160,180,180,115
getup19,60,60,90,120,130,90,70,40,20,10,65,110,150,180,180,115
getup20,60,60,90,120,130,90,80,50,20,10,65,100,130,180,180,115
getup21,40,60,90,140,130,90,70,50,20,10,65,110,140,180,180,115
getup22,40,60,90,140,130,90,70,60,20,10,65,110,130,180,180,115
